Away Team,City,Home Team,Match Date,Match ID,Match Referee,Player Of Match,Season,Team Gender,Toss Decision,Toss Winner,TV Umpire,Umpire,Venue,Winner,Number of Records,Winner Runs
Zimbabwe,Khulna,Bangladesh,20-01-2016,958419,BC Broad,MN Waller,2015/16,male,bat,Zimbabwe,Sharfuddoula,"Anisur Rahman,Enamul Haque",Sheikh Abu Naser Stadium,Zimbabwe,1,31
England,Centurion,South Africa,22-01-2016,800467,RS Madugalle,K Rabada,2015/16,male,bat,South Africa,RJ Tucker,"HDPK Dharmasena,CB Gaffaney",SuperSport Park,South Africa,1,280
Zimbabwe,Khulna,Bangladesh,22-01-2016,958421,BC Broad,H Masakadza,2015/16,male,bat,Zimbabwe,Anisur Rahman,"Enamul Haque,Sharfuddoula",Sheikh Abu Naser Stadium,Zimbabwe,1,18
Pakistan,Wellington,New Zealand,22-01-2016,914225,DC Boon,CJ Anderson,2015/16,male,field,Pakistan,WR Knights,"BF Bowden,DJ Walker",Westpac Stadium,New Zealand,1,95
India,,Australia,23-01-2016,895815,JJ Crowe,MK Pandey,2015/16,male,field,India,JD Ward,"RA Kettleborough,P Wilson",Sydney Cricket Ground,India,1,
Pakistan,Wellington,New Zealand,25-01-2016,914227,DC Boon,HM Nicholls,2015/16,male,field,Pakistan,BNJ Oxenford,"NJ Llong,DJ Walker",Basin Reserve,New Zealand,1,70
India,,Australia,26-01-2016,895817,JJ Crowe,V Kohli,2015/16,male,field,Australia,P Wilson,"SD Fry,JD Ward",Adelaide Oval,India,1,37
India,,Australia,29-01-2016,895819,JJ Crowe,V Kohli,2015/16,male,field,Australia,JD Ward,"SD Fry,P Wilson",Melbourne Cricket Ground,India,1,27
India,,Australia,31-01-2016,895821,JJ Crowe,SR Watson,2015/16,male,bat,Australia,P Wilson,"SD Fry,JD Ward",Sydney Cricket Ground,India,1,
Pakistan,Auckland,New Zealand,31-01-2016,914265,DC Boon,MJ Guptill,2015/16,male,bat,Pakistan,BNJ Oxenford,"BF Bowden,NJ Llong",Eden Park,New Zealand,1,
England,Bloemfontein,South Africa,03-02-2016,800469,J Srinath,Q de Kock,2015/16,male,bat,England,HDPK Dharmasena,"CB Gaffaney,S George",Mangaung Oval,England,1,39
